day,text
1,"Dans 30 jours$ toutes les entreprises vont passer à Microsoft et ses applications. Bientôt$ on ne verra plus LibreOffice$ car ils seront bannis. De même avec tous les logiciels libres$ qui$ à la suite de Microsoft$ vont devenir propriétaires."
2,"Des scientifiques ont prouvé que le pingouin de Linux représentait bien un pingouin..."
3,"Un homme nommé 'Julien Baste' est porté disparu !"
4,"Microsoft continue à faire pression sur les entreprises qui n'utilisent pas leurs produits !"
5,"Le 'Jeu de la Vie' est un jeu qui consiste créer la vie ? Est-ce -18 ?"
7,"Les résidences CROUS de Villeneuve-d'Ascq sont en train de combattre les cafards. Comment les aider ?"
10,"Ce midi$ au Charles Barrois$ le menu est : lasagne aux légumes$ pizza au maroilles$ pâtes au sucre. Beurk."
13,"Des professeurs ont dénoncé des 'amogus' qui apparaissent sur les tableaux de leurs salles de classe. Mystérieux..."
17,"Le prix de la meilleure thèse de l'histoire de l'Humanité a été décerné à Julien Baste$ mais il n'est pas venu le chercher."
20,"Never gonna give you up$ never gonna let you down [...]"
23,"Dans une semaine$ ce sera la fin de l'indépendance des entreprises !"
25,"Il parait que Microsoft a kidnappé des gens refusant d'utiliser leurs outils."
29,"Des émeutes émergent partout dans le monde$ et il semble que la Russie se prépare à lancer des bombes nucléaires !"
30,"C'est la fin du moooonnnndee!!!!!! BAAAAH"